"Община","Име на атракция","Вид на атракция","Собственост","Статут","Достъпност за посещение","Местоположение","Транспортна достъпност и връзки","Видимост и ориентация","Среда","Туристическа инфраструктура","Съпътстващи атракции","Публични услуги","Интернет ресурси"
"Пловдив","ЦЪРКВА СВЕТА БОГОРОДИЦА","Православен храм","БПЦ","Народна старина, паметник на културата от национално значение","Безплатен, не е достъпен за хора с увреждания","гр. Пловдив, ул. Митрополит Паисий“ и „Тодор Самодумов“ и ул. „Съборна“","Пешеходна, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Няма","Има",""
"Пловдив","КАТОЛИЧЕСКА ЦЪРКВА СВЕТИ ЛУДВИГ","Католически храм","Софийско-Пловдивската епархия","От национално значение","Безплатен, достъпен за хора с увреждания","гр. Пловдив, бул. Княгиня Мария Луиза","Пешеходна, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Няма","Има",""
"Пловдив","РИМ МУЗЕЕН ЦЕНТЪР ЗА СЪВРЕМЕННА ИСТОРИЯ","Регионален исторически музей","Общинска / Акт за собственост № 556 от 20.11.2000 г.","Паметник на културата от местно значение","Да, платено с безплатен ден, целогодишно, наличие на екскурзовод","гр. Пловдив, ул. „Ангел Букорещлиев” № 14, 4000 Пловдив","Пловдив – Сахат тепе, градска улица","Музеен център за съвременна история се намира на ул. „Ангел Букорещлиев” № 14 - уличката, която се вие по източния склон на Сахат тепе и е успоредна на Главната улица.","Градска","Места за настаняване","Има","Има",""
"Пловдив","РИМ БРАТСКА МОГИЛА","Регионален исторически музей","Общинска / Няма акт за собственост","Паметник на културата от местно значение","Безплатно, достъпен за хора с увреждания","гр. Пловдив, парк „Отдих и култура”, бул. „Свобода”","Парк „Отдих и култура”, градски булевард, обществен транспорт","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","АРХЕОЛОГИЧЕСКИ КОМПЛЕКС НА НЕБЕТ ТЕПЕ","Археологически комплекс","Публична държавна","Паметник на културата от национално значение","Безплатно, не е достъпен за хора с увреждания","гр. Пловдив","Пешеходна, част от пешеходен маршрут","Отлични, насочващи табели","Градска","Места за настаняване","Има","Има",""
"Пловдив","ЦЪРКВА СВЕТИ СВЕТИ КОНСТАНТИН И ЕЛЕНА","Православен храм","БПЦ","Народна старина, паметник на културата от национално значение","Безплатен за индивидуални туристи, платен за групи, не е достъпен за хора с увреждания","ул. Съборна","Пешеходна, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Няма","Има",""
"Пловдив","ЦЪРКВА СВЕТА МАРИНА","Православен храм","БПЦ","Народна старина, паметник на културата от национално значение","Безплатен, достъпен за хора с увреждания","гр. Пловдив, ул.""Д-р Вълкович""","Пешеходна, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Няма","Има",""
"Пловдив","ДЖУМАЯ ДЖАМИЯ","Мюсюлмански храм","Пловдивско мюфтийство","Народна старина, от национално значение","Безплатен, достъпен за хора с увреждания","гр. Пловдив, площад Римски стадион","Пешеходна, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Няма","Има",""
"Пловдив","РЕГИОНАЛЕН ПРИРОДОНАУЧЕН МУЗЕЙ","Музей","Публична общинска Акт №370","Паметник на културата с местно значение","Платен достъп, целогодишно. В момента протича основен ремонт и достъпът е временно прекратен, предстои изграждане на достъпна среда за хора с увреждания","гр. Пловдив, ул. Христо Г. Данов №34","Централна градска част, има достъп с автомобил и велосипед до сградата Както и разположени в близост спирки на обществения транспорт.","Сградата е на лесно откриваемо и достъпно място в центъра на града.","Градска","Места за настаняване","Има","Има",""
"Пловдив","ГАЛЕРИЯ ЗАНАЯТИ","Галерия с ежемесечни, тематични изложби на занаятчийски изделия","Стопанин и ползвател РЗК- Пловдив","Не е паметник на културата","Безплатно Целогодишно","гр. Пловдив, ул ""Д-р Вълкович"" 3","Градска павирана улица.В близост обществен транспорт.","В близост до храм ""Св. Вмчца Марина"", Google maps, Главната улица","Градска","Места за настаняване","Има","Има",""
"Пловдив","БАКАЛОВА КЪЩА","Занаятчийски център с демонстрация на пет вида занаяти","стопанин и ползвател РЗК- Пловдив","Народна старина от местно значение","Безплатно сезонно от март до ноември","гр. Пловдив, ул ""Д-р Чомаков"" 9","Калдъръмени улици на Стария град, в близост обществен транспорт","На 100м от РЕМ- Пловдив. На Небет тепе.","Градска","Места за настаняване","Има","Има",""
"Пловдив","СТЪКЛОДУВНО АТЕЛИЕ","Ателие за изработване на изделия чрез стъклодухане","Стопанин и ползвател РЗК- Пловдив","Ателие","Безплатно Целогодишно","гр. Пловдив, ул ""Витоша"" 1а","Калдъръмени улици на Стария град, в близост обществен транспорт","Лапидариум в Старинен Пловдив, Балабанова къща.","Градска","Места за настаняване","Има","Има",""
"Пловдив","ПРОЛЕТЕН ПАНАИР НА ЗАНАЯТИТЕ","Панаир на занаятите","РЗК-Пловдив","Панаир на занаятите","Безплатно. Сезонно Има достъп за хора с увреждания","гр. Пловдив, ул Райко Даскалов /Малка главна/","Главна пешеходна зона, в близост обществен транспорт","Римски стадион, Джумая джамия,Търговски център","Градска","Места за настаняване","Има","Има",""
"Пловдив","ЕСЕНЕН ПАНАИР НА ЗАНАЯТИТЕ","Панаир на занаятите","РЗК-Пловдив","Панаир на занаятите","Безплатно. Сезонно. Няма достъп за хора с увреждания","гр. Пловдив, ул. Съборна","Калдъръмени улици на Стария град, в близост обществен транспорт.","Пл. Хисар капия, Лапидариум","Градска","Места за настаняване","Има","Има",""
"Бобошево","ЦЪРКВА СВЕТИ КИРИЛ И МЕТОДИЙ","Църква","БПЦ","","По повод","с. Висока могила","Асфалтиран път","","Градска","Места за настаняване","-","Има",""
"Бобошево","ПАРАКЛИС СВЕТИ ИЛИЯ","Параклис","-","","По повод","с. Циклово","Път","","Градска","Места за настаняване","-","-",""
"Пловдив","ДОМ НА КУЛТУРАТА БОРИС ХРИСТОВ","Обществена сграда – голяма зрителна зала, 2 конферентни зали, камерна зала, балетна зала, хорова зала , звукозаписно студио, танцово студио, галерии","Общинска, Акт за публична общинска собственост № 618/09.03.2001 и Акт за публична общинска собственост № 1266/07.05.2009","Публична сграда с културно предназначение","Целогодишно, достъпна за хора с увреждания","гр. Пловдив, ул.“Гладстон “№ 15","Разположен в централната градска част. Пред сградата и в радиус от 100м – спирки на обществен траспорт. Отстояние от ж.п. и автогара – 1км. Разполага със собствен паркинг","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","БАНЯ СТАРИННА","Обществена сграда. Център за съвременно изкуство","Общинска. Акт за общинска собственост №63/28.11.1997г.","Публична сграда с културно предназначение. Паметник на културата","Целогодишно, достъпна за хора с увреждания","гр. Пловдив, бул. ""Шести септември"" № 179","Разположена в централната градска част на възлово кръстовище. В радиус от 100м - спирки на обществения транспорт и таксиметрови стоянки.","Отлични","-","Места за настаняване","-","-",""
"Пловдив","МАВЛЕВИ ХАНЕ","Архитектурно-строителен, художествен и исторически обект","Частна","От национално значение","-","гр. Пловдив, ул. ""Княз Церетелев""","АИР „Старинен Пловдив“","Отлични","Градска","Места за настаняване","Няма","Има",""
"Невестино","ПРАИСТОРИЧЕСКО И АНТИЧНО СЕЛИЩЕ","-","","Местно значение","Да","с. Невестино, м. Жежката вода (при вертолетната площадка)","Да целогодишно","Да","Природна","Места за настаняване","-","Има",""
"Пловдив","МЕЖДУНАРОДЕН ФОЛКЛОРЕН ФЕСТИВАЛ","Фестивал","Общински","Международно събитие","Концертите са безплатни","гр. Пловдив, Античен театър и открита сцена на пл. ""Ст. Стамболов"".","Концертите и дефилетата се провеждат в пешеходната част на града и в Античния театър. В радиус от 100м има спирки на градския транспорт и таксиметрови стоянки. Пешеходен достъп до Стария град.","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА КАМЕРНАТА МУЗИКА","Фестивал","Общински","Най-стария фестивал за камерна музика в Европа","Концертите са с билети","гр. Пловдив, Етнографски музей","Достъпът е пешеходен","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ПЛОВДИВСКИ ДЖАЗ ВЕЧЕРИ","Международен фестивал","Общински","Международно събитие","Концертите са с билети. Достъпен за хора с увреждания","гр. Пловдив, Дом на културата ""Борис Христов""","Пред сградата и в радиус от 100м – спирки на обществен траспорт. Отстояние от ж.п. и автогара – 1км. Собствен паркинг за автомобили.","Отлични","Градска","Места за настаняване","Има","Има",""
"Бобошево","ХРАМ СВЕТА РАВНОАПОСТОЛНА МАРИЯ МАГДАЛИНА","Храм","БПЦ","","Редовно","с. Усойка","Път- Е79","ЦЧ","Градска","Места за настаняване","-","Има",""
"Пловдив","МЕЖДУНАРОДЕН ФЕСТИВАЛ НА КИТАРАТА","Международен фестивал","Общински","Международно събитие","Концертите са с билети","гр. Пловдив, Камерна зала на Драматичен театър и Балабанова къща","Пешеходен достъп. В близост автобусни спирки на обществен Градска среда АИР - Балабанова къща транспорт, таксиметрови стоянки","Отлични","Градска","Места за настаняване","Няма","Има",""
"Пловдив","НОЩ НА МУЗЕИТЕ И ГАЛЕРИИТЕ","Фестивал за изкуство и култура","Базов организатор фондация „Отворени изкуства“ с общинско участие","Събитие от международен интерес","Свободен достъп","гр. Пловдив","Маркиран пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ЕСЕНЕН САЛОН НА ИЗКУСТВАТА","Обединява 22 събития от нач. на септември до края на октомври","Базов организатор Община Пловдив","Събития от международен интерес","Платени и безплатни","гр. Пловдив","Салон на изкуствата","Отлични","Градска","Места за настаняване","Има","-",""
"Пловдив","ARTNEWS CAFE","Кафене, място за културни събития","частна","Предпочитано място за културни срещи с международен интерес","Свободен достъп","Пловдив, ул. „Отец Паисий“ 38","Пешеходна улица, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","КВАРТАЛ КАПАНА","Архитектурно-строителен обект, квартал на творческите индустрии","Смесена","Групово паметник на културата","Свободен достъп","гр. Пловдив, историческа зона ""Филипопол - Тримонциум - Пловдив""","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ДЪРЖАВЕН КУКЛЕН ТЕАТЪР","Детски куклен театър","Публична държавна","Архитектурно-строителен и творчески","Вход с билети","гр. Пловдив, ул.""Хр.Г.Данов"" №14","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ХЪЛМ НА ОСВОБОДИТЕЛИТЕ","Природна забележителност в урбанизирана среда","Общинска собственост","Паметник на парковото и градинското изкуство, с включени в червената книга животни и растения, редки ендемити","Свободен достъп","гр. Пловдив, бул. Руски","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Няма",""
"Пловдив","МЛАДЕЖКИ ХЪЛМ","Природна забележителност в урбанизирана среда","Общинска собственост","Местно значение, с включени в червената книга животни и растения, редки ендемити","Свободен достъп","гр. Пловдив","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ДАНОВ ХЪЛМ","Природна забележителност в урбанизирана среда","Общинска собственост","Паметник на парковото и градинското изкуство, с включени в червената книга животни и растения, редки ендемити","Свободен достъп","гр. Пловдив, ул. Анг. Букорещлиев, ул. Дондуков, ул. Б. Здравков","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Няма",""
"Пловдив","ЦАР СИМЕОНОВА ГРАДИНА","Природна забележителност в урбанизирана среда","Общинска собственост","Паметник на парковото и градинското изкуство","Свободен достъп","гр. Пловдив, ул. Иван Вазов, ул. Гладстон, пл. Централен и ул. Авкс. Велешки","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ПЕЕЩИТЕ ФОНТАНИ","Музикално-сценична атракция","Общинска собственост","Аудио-визуален спектакъл","Свободен достъп","гр. Пловдив, югозападната част на Цар Симеоновата градина","Пешеходна зона, част от пешеходен маршрут","Отлични","Градска","Места за настаняване","Има","Има",""
"Пловдив","ГРЕБНА БАЗА","Спортен комплекс","Общинска собственост","Най-големият гребен канал на Балканите","Свободен достъп","гр. Пловдив, район „Западен“","Пешеходна алея и гребен канал","Отлични","Градска","Места за настаняване","Има","Има",""
"Кричим","ИЗГОРЯЛОТО ГЮНЕ","Резерват","Министерство на околната среда и водите","","Достъпен","Южно от града по левия бряг на р. Въча","Пътя Кричим - Девин","","Природна","Места за настаняване","-","-",""
"Кричим","МИНЕРАЛЕН ИЗВОР","Минерален извор","Държавна собственост","","Достъпен","Южно от града по левия бряг на р. Въча","Пътя Кричим - Девин","","Природна","Места за настаняване","-","-",""
"Кричим","МАНАСТИР СВЕТО РОЖДЕСТВО БОГОРОДИЧНО","Манастир","Българска патриаршия","Паметник на културата","Достъпен","Южно от града по левия бряг на р. Въча","Пътя Кричим - Девин","","Природна","Места за настаняване","-","-",""
"Кричим","ЕКОПЪТЕКА КРИЧИМ ЧЕРЕШОВО","Екопътека","Общинска собственост","","Достъпен","Започва от Минералния извор и свършва в м. Черешово","Пътя Кричим - Девин","","Природна","Места за настаняване","Има","-",""
"Асеновград","АСЕНОВА КРЕПОСТ","Средновековна крепост и храм","Публична държавна собственост","Национален паметник на културата","Има достъп, безплатно, има екскурзовод, достъпен целогодишно","GPS КООРДИНАТИ 41°59'11.44""N, 24°52'22.34""E","Асфалтов път. Много добро състояние","Много добра","Природна","Места за настаняване","Има","Има",""
"Асеновград","БАЧКОВСКИ МАНАСТИР УСПЕНИЕ БОГОРОДИЧНО","Манастир","Църковна","Паметник на културата","Има достъп, платен достъп, има екскурзовод, достъпен целогодишно","GPS КООРДИНАТИ 41°56'33""N 24°51'17""E","Асфалтов път. Много добро състояние","Много добра","Природна","Места за настаняване","Има","Има",""
"Невестино","РАЗВАЛИНИ НА ЦЪРКВА И ОБРОЧИЩЕ СВЕТА ПЕТКА","-","","Местно значение","Да","с. Невестино, в гробищата при Яновска махала","Да,през пролетно-летния сезон","Да","Природна","Места за настаняване","Има","Има",""
"Асеновград","БЕЛИНТАШ","Скален феномен","Държавна","","Има труден достъп, безплатно, няма екскурзовод, достъпен без зимен сезон","GPS КООРДИНАТИ 41°84813""N, 24°968448""E","2 км черен път до обекта. Само за високопроходими автомобили","Много добра","Природна","Места за настаняване","Няма","Няма",""
"Асеновград","СЛИВОДОЛСКО ПЪДАЛО","Водопад","","","Има достъп, безплатно, няма екскурзовод, достъпен летния сезон","GPS КООРДИНАТИ 41°54'34""N 24°50'26""E","Горски пътеки. Труден достъп","Намира се в каньон. Трудна видимост","Природна","Места за настаняване","Няма","Няма",""
"Асеновград","ПЕЩЕРА ДОБРОСТАНСКИ БИСЕР","Пещера","Държавна","","В период на социализация","GPS координати: E 24° 52' 36.90'', N 41° 53' 48.60''","Горски пътеки и черен горски път","Много добра","Природна","Места за настаняване","Няма","Има",""
"Асеновград","МУЗЕЙ ХОРАТА С МОТОРИ","Музей","Частна","","Има достъп, платен, има екскурзовод, достъпен целогодишно","GPS КООРДИНАТИ 41°59'41""N 24°52'15""E","Асфалтов път. Много добро състояние","Много добра","Природна","Места за настаняване","Има","Има",""
"Раковски","ИСУС ХРИСТОС","Статуя","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Хр. Смирненски","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","ЯКО ЯКОВСКИ","Паметник","Общинска","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Петър Богдан","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","ДЕВА МАРИЯ","Статуя","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Михаил Добромиров","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","ПРЕСВЕТО СЪРЦЕ ИСУСОВО","Църква","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, пл. България","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","СВЕТИ МАКСИМИЛЯН КОЛБЕ","Манастир","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Детелина","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","ГЕОРГИ САВА РАКОВСКИ","Паметник","Общинска","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, бул. Георги С.Раковски","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","СВЕТИ АРХАНГЕЛ МИХАИЛ","Църква","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Никола Вапцаров","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","УСПЕНИЕ НА СВЕТА БОГОРОДИЦА","Храм","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","с. Шишманци","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","РОЖДЕСТВО БОГОРОДИЧНО","Параклис","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","с. Белозем","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","СВЕТИ ФРАНЦИСК ОТ АСИЗИ","Църква","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","с. Белозем, ул. Папа Йоан Павел ІІ","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","СВЕТИ ГЕОРГИ ПОБЕДОНОСЕЦ","Църква","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","с. Белозем, ул. Родопи","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","МИХАИЛ ДОБРОМИРОВ","Паметник","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Михаил Добромиров","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","МАНАСТИР НА СЕСТРИТЕ ФРАНЦИСКАНКИ СВЕТА ЕЛИСАВЕТА","Манастир","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Филип Станиславов","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","МАНАСТИР НА СЕСТРИТЕ БЕНЕДИКТИНКИ СВЕТИ БЕНЕДИКТ","Манастир","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. 6-ти Септември","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","НЕПОРОЧНО ЗАЧАТИЕ НА ДЕВА МАРИЯ","Църква","Частна","Паметник на културата","Безплатно, целогодишно, без екскурзоводи","гр. Раковски, ул. Хр. Смирненски","Трайна настилка","Обозначителна табела","Градска","Места за настаняване","Няма","Има",""
"Раковски","КИСИМОВИ ДУПКИ","Природен обект","Частна","Туристически обект","Платено, сезонно, без екскурзоводи","с. Белозем","Полски път","Обозначителна табела","Природна","Места за настаняване","Няма","Няма",""
"Брезово","ГРОБЪТ НА ХАДЖИ ДИМИТЪР","Лобно място","-","Паметник","Черен път. Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди. Обозначена туристическа пътека","с.Свежен","До някъде има асфалтов път, след което доста труден черен път.","Трудна","Градска","Места за настаняване","Има","Има",""
"Невестино","ОБРОЧИЩЕ","-","","Местно значение","Да","с. Невестино, м. Спасовица, разположено на 1,375 км западно (284°) от училището (кметството)","Да, целогодишно","Да","Природна","Места за настаняване","Има","Има",""
"Сопот","КЪЩА МУЗЕЙ ИВАН ВАЗОВ","Музей, паметник на културата","Общинска","Паметник на културата, от национално значение","Да, платено, целогодишно, наличие на екскурзоводи","гр. Сопот, ул. Васил Левски 1","Обектът е в центъра на града, на лесно достъпно място. На главен път София- Бургас, постоянен транспорт Карлово- Сопот.","Точно в центъра на града.","Градска","Места за настаняване","Има","Има",""
"Сопот","ДЕВИЧЕСКОТО РАДИНОТО УЧИЛИЩЕ","Паметник на културата, недвижим","Общинска","Паметник на културата от местно значение","Да, платено, целогодишно, наличие на екскурзоводи","гр. Сопот, площад Възраждане","Обектът е в центъра на града, на лесно достъпно място.","На лесно за ориентиране място.","Градска","Места за настаняване","Има","Има",""
"Сопот","ЕТНОГРАФСКИ И ЗАНАЯТЧИЙСКИ ЦЕНТЪР „СОПОТСКИ ЕСНАФЪ“","Паметник на културата, недвижим","Общинска","Паметник на културата от местно значение","Да, платено, целогодишно, наличие на екскурзоводи","гр. Сопот, ул. Йордан Войвода №4","Близо до центъра на града.","На лесно за ориентиране място. Има поставени указателни табели.","Градска","Места за настаняване","Има","Има",""
"Брезово","ВОЕНЕН ПАМЕТНИК","Паметник","Общинска","Паметник","Безплатно, Целогодишно, Няма екскурзовод, Няма рампа за инвалиди","с.Чехларе","Асфалтов път","","Градска","Места за настаняване","Има","-",""
"Сопот","ДЯДО СТОЯНОВА ВОДЕНИЦА","Паметник на културата, недвижим","Общинска","Паметник на културата от местно значение","Да, платено, сезонно (март-ноември), наличие на екскурзоводи","гр. Сопот, на 2 км от центъра на града","В близост до главен път София- Бургас.","Има поставени указателни табели.","Природна","Места за настаняване","Има","Има",""
"Брезово","ЛЮЛЯКОВОТО СВЕТИЛИЩЕ СЪС СЛЪНЧЕВА СТЕЛА","Светилище","-","","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди. Обозначена туристическа пътека","с. Бабек","На 6 км.от с.Бабек / асфалтов път/ и по планинска пътека 30 минути пеша.","Обозначено със знаме. Видимо от шосето Бабек-Свежен","Природна","Места за настаняване","Има","Няма",""
"Сопот","ДЕВИЧЕСКИ МЕТОХ ВЪВЕДЕНИЕ БОГОРОДИЧНО","Паметник на културата, недвижим","Общинска","Паметник на културата от национално значение","Да, безплатно, целогодишно","гр. Сопот, площад Възраждане","Обектът е в центъра на града, на лесно достъпно място.","На лесно за ориентиране място.","Градска","Места за настаняване","Има","Има",""
"Сопот","МАНАСТИР СВЕТИ СПАС","Паметник на културата, недвижим","Общинска","Паметник на културата от местно значение","Да, безплатно, целогодишно","гр.Сопот, в подножието на Стара планина.","В близост до главен път София- Бургас.","Има поставени указателни табели.","Природна","Места за настаняване","Има","Има",""
"Сопот","ВЪЖЕН ЛИФТ И ЦЕНТЪР ЗА ЕКСТРЕМНИ СПОРТОВЕ ШАМБАЛА","Атракцион","Частна","-","Платено, сезонно","Намира се на около 1 км северно от гр.Сопот.","В близост до главен път София- Бургас.","Има поставени указателни табели.","Природна","Места за настаняване","Има","Има",""
"Брезово","СВЕТСКО УЧИЛИЩЕ","Паметник на културата","-","Паметник / музей","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди","гр.Брезово","Много добра-асфалтов път, има обществен транспорт","Намира се до църквата в центъра на града","Градска","Места за настаняване","Има","Има",""
"Брезово","ЦЪРКВА СВЕТИ ДИМИТЪР","Паметник на културата","-","Архитектурен паметник","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди","гр.Брезово","Много добра-асфалтов път, има обществен транспорт","Намира се до Светското училище в центъра на града","Градска","Места за настаняване","Има","Има",""
"Брезово","40 КЪЩИ","Архитектурен паметник","Частна","Архитектурен паметник","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди","с. Розовец","Добра асфалтов път, има обществен транспорт","Различна – предимно добра","Градска","Места за настаняване","Има","Има",""
"Брезово","МЕСТНОСТ ДЕРМЕНКА","Място за отдих","-","","Отлична. На пътя Розовец-Турия","На 6 км от Розовец в посока Турия","С автомобилен транспорт","Отлична","Природна","Места за настаняване","Има","Няма",""
"Брезово","102 КЪЩИ, ОБЯВЕНИ ЗА РЕЗЕРВАТ","Архитектурен резерват","Частна","Архитектурен паметник","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди","с.Свежен","Асфалтов път до с.Свежен","Добра","Градска","Места за настаняване","Има","Има",""
"Брезово","КЪЩА НА ПОЛКОВНИК СЕРАФИМОВ","Паметник на културата","Частна","Архитектурен паметник","Безплатно, Целогодишно, Няма екскурзовод, Няма рампа за инвалиди","с.Свежен","Асфалтов път до с.Свежен","Добра","Градска","Места за настаняване","Има","Има",""
"Брезово","ЦЪРКВА СВЕТИ СВЕТИ ПЕТЪР И ПАВЕЛ","Паметник на културата","-","Паметник","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди","с.Свежен","Асфалтов път до с.Свежен","Добра","Градска","Места за настаняване","Има","Има",""
"Брезово","ЦЪРКВА СВЕТИ ГЕОРГИ","Паметник на културата","-","Паметник","Безплатно. Целогодишно. Няма екскурзовод. Няма рампа за инвалиди","с .Златосел","Асфалтов път до с. Златосел","Добра- намира се на центъра на с.Златосел","Градска","Места за настаняване","Има","Има",""
"Брезово","ТРАСЕ ДОНДУКОВ- СВЕЖЕН","Път","Общинска собственост","Трасе за вело, пешеходен и офроуд - туризъм","Труден","с.Златосел-с.Свежен,","Черен път","","Природна","Места за настаняване","Има","-",""
"Брезово","СТЕФАНОВ КАМЪК","Лобно място","-","Паметник","Труден","с .Върбен","Черен път","","Природна","Места за настаняване","Има","-",""
"Невестино","КЪСНОАНТИЧНО СЕЛИЩЕ","Антично селище","-","Местно значение","Да","с. Невестино, на територията на Горната махала и северно от нея в м. Резервоара","Да,през пролетно-летния сезон","Да","Природна","Места за настаняване","Има","Има",""
"Кюстендил","АКРОПОЛЪТ НА ПАУТАЛИЯ","Късноантична и средновековна крепост, датира края на ІV - началото на V век","Държавна","Паметник на културата с категория ""национално значение""","Безплатно, целогодишно","Лесопарк Хисарлъка, 2 км югоизточно от гр. Кюстендил","Асфалтов път в добро състояние, пешеходни пътеки през пресечена местност - поддържани, асфалтирани пешеходни алеи в добро състояние","Югоизточно от гр. Кюстендил","Природна","Места за настаняване","Има","Има",""
"Кюстендил","ОБРОКЪТ СВЕТИ ИВАН РИЛСКИ","Ниша в пещера с каменен кръст","Държавна","","Безплатно, лято и есен","На 3 км североизточно от село Гърбино","-","","Природна","Места за настаняване","-","-",""
"Кюстендил","МИТРОПОЛИТСКА ЦЪРКВА УСПЕНИЕ БОГОРОДИЧНО","Християнски храм","Свети Синод","Паметник на културата с категория ""национално значение""","Безплатно, целогодишно","гр. Кюстендил, ул. Демокрация","Асфалтирана пешеходна алея","Централна градска част","Градска","Места за настаняване","-","-",""
